index,2008_01,2008_02,2008_03,2008_04,2008_05,2008_06,2008_07,2008_08,2008_09,2008_10,2008_11,2008_12,2009_01,2009_02,2009_03,2009_04,2009_05,2009_06,2009_07,2009_08,2009_09,2009_10,2009_11,2009_12,2010_01,2010_02,2010_03,2010_04,2010_05,2010_06,2010_07,2010_08,2010_09,2010_10,2010_11,2010_12,2011_01,2011_02,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09
2008-01-02 00:00:00,23.86,24.49,24.34,24.32,24.23,23.97,23.9,23.91,,,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-03 00:00:00,23.42,24.52,24.31,24.26,24.21,24.04,23.83,23.77,,,23.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-04 00:00:00,24.68,25.3,25.01,24.83,24.65,24.57,24.53,24.42,,,24.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-07 00:00:00,24.12,24.81,24.54,24.45,24.37,24.28,24.13,24.03,,,23.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-08 00:00:00,25.54,25.9,25.52,25.35,25.17,25.07,24.86,24.88,,,24.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-09 00:00:00,24.89,25.78,25.28,24.76,24.66,24.49,24.39,24.4,,,24.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-10 00:00:00,24.07,24.95,24.51,24.36,24.27,24.15,23.88,24.05,,,23.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-11 00:00:00,24.96,26.15,26.05,25.92,25.5,25.5,25.25,25.01,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-14 00:00:00,23.36,25.1,25.07,25.07,24.89,24.9,24.77,24.52,,,24.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-15 00:00:00,24.04,25.24,25.03,25.1,24.91,24.5,24.71,24.61,,,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-16 00:00:00,24.18,24.99,25.03,25.1,24.94,24.5,24.42,24.4,,,24.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-17 00:00:00,,26.97,26.62,26.73,26.36,26.25,26.2,25.99,,,25.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-18 00:00:00,,27.24,26.71,26.62,26.19,26.01,25.88,25.61,,,25.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-22 00:00:00,,27.73,26.38,26.45,25.77,25.7,25.71,25.51,,,25.35,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-23 00:00:00,,26.4,25.3,25.43,24.98,25.0,24.85,24.63,,,24.25,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-24 00:00:00,,26.43,25.34,25.42,25.2,24.98,25.0,24.71,,,24.41,25.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-25 00:00:00,,26.75,25.8,25.74,25.63,25.38,25.2,24.98,,,24.73,24.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
