Screener Results:

Ticker,Company Name,Last Trade,Trade Time,Mkt Cap,Return On Equity,Return On Assets,Forward PE
AU , AngloGold Ashanti , 44,25 , 1:30pm , 85,484B , 26,85 , 10,694 , 7,68
ABX , Barrick Gold Corp , 47,66 , 1:30pm , 47,650B , 19,136 , 9,884 , 8,29
GG , Goldcorp Incorpor , 47,82 , 1:30pm , 38,721B , 9,357 , 5,266 , 15,92
NEM , Newmont Mining Co , 64,77 , 1:30pm , 32,049B , 19,569 , 9,911 , 10,96
KGC , Kinross Gold Corp , 12,62 , 1:30pm , 14,356B , 5,149 , 4,694 , 10,44
AUY , Yamana Gold, Inc. , 15,43 , 1:30pm , 11,506B , 7,85 , 5,275 , 12,55
GFI , Gold Fields Ltd.  , 15,67 , 1:30pm , 11,332B , 0 , 0 , 0
BVN , Compania Mina Bue , 37,39 , 1:30pm , 9,514B , 32,741 , 13,33 , 9,11
EGO , Eldorado Gold Cor , 15,73 , 1:30pm , 8,671B , 9,3 , 7,446 , 15,21
AEM , Agnico-Eagle Mine , 41,33 , 1:30pm , 7,000B , 3,283 , 2,603 , 13,05
IAG , Iamgold Corporati , 18,23 , 1:30pm , 6,852B , 15,331 , 10,41 , 12,73
HMY , Harmony Gold Mini , 12,85 , 1:30pm , 5,527B , 0 , 0 , 11,57
AUQ , AuRico Gold Inc.  , 8,92 , 1:30pm , 2,511B , 13,228 , 9,076 , 7,44
JAG , Jaguar Mining Inc , 6,26 , 1:30pm , 528,4M , -28,931 , 0,948 , 0
UXG , U.S. Gold Corpora , 3,45 , 1:30pm , 482,1M , -25,537 , -10,547 , 0


